,country,H,H1,H12,H123,H1_2
883,CAF (An. coluzzii),0.9523809523809524,0.07407407407407407,0.11728395061728396,0.1512345679012346,0.48958333333333326
884,CAF (An. coluzzii),0.9206349206349206,0.1049382716049383,0.191358024691358,0.23765432098765432,0.5294117647058825
885,CAF (An. coluzzii),0.8571428571428571,0.1666666666666667,0.3209876543209877,0.3518518518518519,0.5370370370370371
886,CAF (An. coluzzii),0.7888888888888889,0.23302469135802473,0.4537037037037038,0.49074074074074087,0.44039735099337757
887,CAF (An. coluzzii),0.8698412698412697,0.15432098765432103,0.27314814814814814,0.3842592592592593,0.39500000000000013
888,CAF (An. coluzzii),0.9253968253968253,0.10030864197530867,0.1697530864197531,0.21296296296296297,0.3769230769230771
889,CAF (An. coluzzii),0.9555555555555555,0.07098765432098765,0.11728395061728396,0.1512345679012346,0.6086956521739131
890,CAF (An. coluzzii),0.9603174603174605,0.06635802469135804,0.09876543209876544,0.12962962962962965,0.43023255813953504
891,CAF (An. coluzzii),0.9603174603174605,0.06635802469135804,0.09876543209876544,0.12962962962962965,0.43023255813953504
892,CAF (An. coluzzii),0.8746031746031746,0.14969135802469138,0.18981481481481477,0.21296296296296297,0.12886597938144348
893,CAF (An. coluzzii),0.8603174603174603,0.16358024691358025,0.24382716049382716,0.3225308641975309,0.20283018867924532
894,CAF (An. coluzzii),0.7619047619047619,0.2592592592592593,0.39043209876543217,0.4922839506172841,0.13988095238095255
895,CAF (An. coluzzii),0.3984126984126984,0.6126543209876544,0.6990740740740742,0.7453703703703705,0.012594458438287208
896,CAF (An. coluzzii),0.819047619047619,0.20370370370370372,0.35493827160493835,0.4197530864197532,0.2575757575757576
897,CAF (An. coluzzii),0.8904761904761904,0.13425925925925927,0.21913580246913583,0.2685185185185185,0.30459770114942525
898,CAF (An. coluzzii),0.834920634920635,0.18827160493827164,0.29629629629629634,0.35493827160493835,0.19672131147540994
899,CAF (An. coluzzii),0.9174603174603173,0.10802469135802473,0.1697530864197531,0.21296296296296297,0.28571428571428586
900,CAF (An. coluzzii),0.9063492063492063,0.11882716049382719,0.1697530864197531,0.21296296296296297,0.21428571428571436
901,CAF (An. coluzzii),0.9412698412698413,0.08487654320987655,0.13425925925925924,0.18981481481481477,0.4181818181818182
902,CAF (An. coluzzii),0.9015873015873016,0.12345679012345681,0.1743827160493827,0.2391975308641975,0.24375000000000002
903,CAF (An. coluzzii),0.9317460317460317,0.09413580246913583,0.13580246913580246,0.191358024691358,0.336065573770492
904,CAF (An. coluzzii),0.915873015873016,0.10956790123456792,0.1959876543209876,0.26543209876543206,0.5492957746478874
905,CAF (An. coluzzii),0.938095238095238,0.08796296296296298,0.15277777777777776,0.1929012345679012,0.5701754385964913
906,CAF (An. coluzzii),0.8698412698412697,0.154320987654321,0.21450617283950615,0.2638888888888889,0.15500000000000014
907,CAF (An. coluzzii),0.8698412698412697,0.154320987654321,0.21450617283950615,0.2638888888888889,0.15500000000000014
908,CAF (An. coluzzii),0.8873015873015873,0.1373456790123457,0.1929012345679012,0.2391975308641975,0.1910112359550564
909,CAF (An. coluzzii),0.7809523809523811,0.24074074074074073,0.2932098765432099,0.3518518518518519,0.0737179487179487
