,pops,pi,tajimaD,watt_theta
3013,GIN (An. gambiae),0.024047092092344194,-2.1181963574044405,0.07466474906671296
3014,GIN (An. gambiae),0.027174756427020164,-1.966198532728991,0.07334907066906163
3015,GIN (An. gambiae),0.0498172878062758,-1.4460691710965392,0.09242640743500591
3016,GIN (An. gambiae),0.0184572932711849,-2.166786664302719,0.060850125891374
3017,GIN (An. gambiae),0.01759731848973152,-2.1896693968625964,0.059534447493722664
3018,GIN (An. gambiae),0.014130380008214519,-2.1806729930896873,0.04802226151427353
3019,GIN (An. gambiae),0.02504258273218706,-1.8917488964654452,0.06381040228608949
3020,GIN (An. gambiae),0.027007078881704092,-1.9733385920668272,0.07334907066906163
3021,GIN (An. gambiae),0.021871109985603376,-1.8590990485279384,0.05460065350253018
3022,GIN (An. gambiae),0.009030003412345557,-2.318338756017414,0.03716791473365007
3023,GIN (An. gambiae),0.016712004544218142,-1.855309311434281,0.042101708724842556
3024,GIN (An. gambiae),0.008749639741448309,-2.4644213249461386,0.043746306721906714
3025,GIN (An. gambiae),0.019465933133929917,-2.092103149527422,0.059534447493722664
3026,GIN (An. gambiae),0.015218285061329745,0.9095586330803731,0.011512185979449136
3027,GIN (An. gambiae),0.01726853665372955,-1.7381309135615677,0.039799271528952726
3028,GIN (An. gambiae),0.028157375733708936,-1.9672893004279592,0.0759804274643643
3029,GIN (An. gambiae),0.01945206377717967,-1.782266824360026,0.04604874391779654
3030,GIN (An. gambiae),0.013776850864464047,-2.0781576886321282,0.04243062832425538
3031,GIN (An. gambiae),0.00865308452802957,-2.376957148520131,0.0384835931313014
3032,GIN (An. gambiae),0.010984740221147789,-2.165968413177106,0.037496834333062896
3033,GIN (An. gambiae),0.016450026152255236,-2.0158568327805515,0.047364422315447866
3034,GIN (An. gambiae),0.01471198863233371,-2.307078333989736,0.05723201029783284
3035,GIN (An. gambiae),0.02664145389655716,-1.8540436201207913,0.06578391988256647
3036,GIN (An. gambiae),0.016877306752594586,-2.2006522797430765,0.057889849496658506
3037,GIN (An. gambiae),0.019720767760251456,-1.9372476782398496,0.05262713590605319
3038,GIN (An. gambiae),0.022324969130536842,-1.9942945566723078,0.06216580428902533
3039,GIN (An. gambiae),0.011150848357641902,-2.427912912556755,0.051640377107814696
3040,GIN (An. gambiae),0.014795356030491395,-2.2822601620254925,0.05591633190018151
3041,GIN (An. gambiae),0.010263417172446391,-2.4585492371965545,0.049995779110750524
3042,GIN (An. gambiae),0.017760740828605695,-2.098960835234992,0.05492957310194301
3043,GIN (An. gambiae),0.01308273618530918,-2.3434372154012664,0.05361389470429169
3044,GIN (An. gambiae),0.011754392212811845,-2.420239626527667,0.05361389470429169
3045,GIN (An. gambiae),0.01845271104639455,-2.072884478857002,0.055587412300768684
3046,GIN (An. gambiae),0.012605397609471112,-2.227788437647741,0.04539090471897087
3047,GIN (An. gambiae),0.02306302008301626,-1.6761919568587647,0.05032469871016336
3048,GIN (An. gambiae),0.011767872029335444,-2.0833739548711887,0.03683899513423723
3049,GIN (An. gambiae),0.003904051368371688,-2.5279585567328455,0.024668969955962433
3050,GIN (An. gambiae),0.0147118106010887,-2.1362791476821696,0.0476933419148607
3051,GIN (An. gambiae),0.02401460489127907,-1.7373445444480005,0.05460065350253018
3052,GIN (An. gambiae),0.013685788131998378,-1.955684095541869,0.037825753932475725
3053,GIN (An. gambiae),0.00568047492024728,-2.5269589586403676,0.03322087954069607
3054,GIN (An. gambiae),0.009214459383092123,-2.247192989390008,0.03486547753776024
3055,GIN (An. gambiae),0.006960108584880343,-2.3192029152945444,0.029602763947154918
3056,GIN (An. gambiae),0.009022145191528854,-2.3039650054641516,0.0365100755348244
3057,GIN (An. gambiae),0.015094582340640907,-2.0969001408679873,0.047035502716035044
3058,GIN (An. gambiae),0.028152528722156615,-1.6301539320635705,0.059205527894309835
3059,GIN (An. gambiae),0.022211221735583504,-1.6807494769134785,0.0486801007130992
3060,GIN (An. gambiae),0.015118961193591414,-2.1026525242646357,0.047364422315447866
3061,GIN (An. gambiae),0.007207778575068955,-2.3713795816732444,0.032563040341870415
3062,GIN (An. gambiae),0.00773787797247584,-2.3838131426853573,0.03519439713717307
3063,GIN (An. gambiae),0.012530363533127073,-2.219302889373986,0.04473306552014521
3064,GIN (An. gambiae),0.01202213424561863,-2.280152907939739,0.04604874391779654
3065,GIN (An. gambiae),0.01427986949617263,-2.0749894928518318,0.043746306721906714
3066,GIN (An. gambiae),0.023816117058101747,-1.8577975965616689,0.059205527894309835
3067,GIN (An. gambiae),0.025819195887690334,-1.5879447235282513,0.05295605550546602
3068,GIN (An. gambiae),0.014101447758750838,-2.1261312263203362,0.04539090471897087
3069,GIN (An. gambiae),0.017470989763770838,-2.0273842265624964,0.050653618309576195
3070,GIN (An. gambiae),0.012456759793393555,-2.13448632034033,0.04078603032719122
3071,GIN (An. gambiae),0.018824277447909127,-2.0455609431614454,0.05525849270135585
3072,GIN (An. gambiae),0.010102204183632717,-2.3446668867122815,0.04243062832425538
3073,GIN (An. gambiae),0.012078953353932078,-2.3919709055846217,0.05295605550546602
3074,GIN (An. gambiae),0.027668671396391984,-1.6128864567395222,0.05756092989724567
3075,GIN (An. gambiae),0.023456802096111166,-1.9376389089348074,0.06216580428902533
3076,GIN (An. gambiae),0.014701405959925326,-2.3076525353488315,0.05723201029783284
3077,GIN (An. gambiae),0.005547787961447986,-2.532942363005456,0.03289195994128324
3078,GIN (An. gambiae),0.007271349013851091,-2.4243178350807035,0.03519439713717307
3079,GIN (An. gambiae),0.0076645893595628425,-2.4955553504640586,0.04078603032719122
3080,GIN (An. gambiae),0.011767272281018865,-2.327002730310052,0.0476933419148607
3081,GIN (An. gambiae),0.025263996055715537,-1.8042821069141055,0.060192286692548336
3082,GIN (An. gambiae),0.019829789826886785,-1.7368880712987478,0.04539090471897087
3083,GIN (An. gambiae),0.0045334685274290385,-2.3915505084016035,0.022695452359485436
3084,GIN (An. gambiae),0.007826448196231711,-2.353724246511061,0.03420763833893457
3085,GIN (An. gambiae),0.0076272117737366,-2.458700829434819,0.0384835931313014
3086,GIN (An. gambiae),0.032421029828001525,-1.2931633495612807,0.055587412300768684
3087,GIN (An. gambiae),0.01831410306719867,-1.9681804515722388,0.05032469871016336
3088,GIN (An. gambiae),0.021475747405905927,-1.9114909674625484,0.05591633190018151
3089,GIN (An. gambiae),0.008592843406658442,-2.3016505183626106,0.03486547753776024
3090,GIN (An. gambiae),0.011607112977006125,-2.0270940972762075,0.03453655793834741
3091,GIN (An. gambiae),0.005878197047228424,-2.287622509179765,0.024668969955962433
3092,GIN (An. gambiae),0.00896956612284644,-2.234190719566507,0.03354979914010891
3093,GIN (An. gambiae),0.003275509639727801,-2.1987380559352814,0.02125670880559121
3094,GMB (An. coluzzii),0.004576359334188406,-2.2390469819607284,0.020003808409400255
3095,GMB (An. coluzzii),0.005587596122527658,-2.106986336717202,0.020316367915797134
3096,GMB (An. coluzzii),0.021792408248669785,-1.227005542190922,0.03688202175483172
3097,GMB (An. coluzzii),0.020596014398200305,-1.3530993445668764,0.03750714076762547
3098,GMB (An. coluzzii),0.004356399136129792,-2.294912506415532,0.02062892742219401
3099,GMB (An. coluzzii),0.008979576939825604,-2.0169153137273095,0.028130355575719107
3100,GMB (An. coluzzii),0.013195719221164701,-2.071558603600598,0.04219553336357866
3101,GMB (An. coluzzii),0.01239909560241698,-1.8334043388248549,0.03219362915887854
3102,GMB (An. coluzzii),0.0032775099128311627,-2.058960750505667,0.012502380255875158
3103,GMB (An. coluzzii),0.0026519842750971166,-2.5737779496464075,0.02219172495417841
3104,GMB (An. coluzzii),0.02521588032234323,-1.6295189191311577,0.05438535411305694
3105,GMB (An. coluzzii),0.008358242072102067,-2.2558877319731505,0.0340689861972598
3106,GMB (An. coluzzii),0.00807610662597061,-1.9931133009960367,0.025004760511750317
3107,GMB (An. coluzzii),0.00548341992155553,-2.4739463229555194,0.03219362915887854
3108,GMB (An. coluzzii),0.011207577721921456,-1.9545926597209968,0.03250618866527541
3109,GMB (An. coluzzii),0.022054933517204316,-1.702816935548982,0.05032208052989751
3110,GMB (An. coluzzii),0.005699552135471753,-2.2628072249329656,0.02469220100535344
3111,GMB (An. coluzzii),0.006617400447366685,-2.078911853685382,0.022816843966972165
